metric,parameter,S1,S1_conf,ST,ST_conf
de_reliability,alpha_betz_warning,0.47557978849824856,0.06685112705568967,0.5934760321817255,0.0645106934322408
de_reliability,alpha_bm_warning,0.38204709820523014,0.05744434371410072,0.5041721046839759,0.0447363151334864
de_reliability,m_lb,-0.01024427833101759,0.01861836918463603,0.01533226156799479,0.02786547739961472
de_reliability,tau_recovery,3.0183195573523168e-05,0.020158798471341072,0.026103582949321694,0.0275285233238815
de_reliability,q_nj_warning,-0.01024427833101759,0.01861836918463603,0.01533226156799479,0.02786547739961472
de_reliability,ierq_max_bg,-0.01024427833101759,0.01861836918463603,0.01533226156799479,0.02786547739961472
de_resiliency,alpha_betz_warning,0.41705755403287464,0.0572421569621991,0.5498194455150736,0.05025986797237803
de_resiliency,alpha_bm_warning,0.42272902345661395,0.05267939578512211,0.561639755754321,0.0574160789184547
de_resiliency,m_lb,-0.00931102506925188,0.01701871923633577,0.011928643339307123,0.021803209673708468
de_resiliency,tau_recovery,0.001813982420648704,0.019084027884937762,0.022467103567583902,0.0216298739734164
de_resiliency,q_nj_warning,-0.00931102506925188,0.01701871923633577,0.011928643339307123,0.021803209673708468
de_resiliency,ierq_max_bg,-0.00931102506925188,0.01701871923633577,0.011928643339307123,0.021803209673708468
de_vulnerability,alpha_betz_warning,0.5962108038694831,0.11814692836123868,0.8359102057980846,0.059349340744434896
de_vulnerability,alpha_bm_warning,0.160529922090901,0.04348590058953984,0.4050765589668102,0.12751447333701102
de_vulnerability,m_lb,0.019644622027456014,0.028314074101020725,0.1261427335437967,0.18181132219660728
de_vulnerability,tau_recovery,0.023288844635172154,0.028064483840616484,0.13128694662133583,0.18050690844425574
de_vulnerability,q_nj_warning,0.019644622027456014,0.028314074101020725,0.1261427335437967,0.18181132219660728
de_vulnerability,ierq_max_bg,0.019644622027456014,0.028314074101020725,0.1261427335437967,0.18181132219660728
de_shortfall_days,alpha_betz_warning,0.4755797884983825,0.07251414658726418,0.5934760321817768,0.05716775326604729
de_shortfall_days,alpha_bm_warning,0.3820470982051191,0.06340714564813109,0.5041721046838871,0.06327874890681598
de_shortfall_days,m_lb,-0.01024427833101727,0.021580365516374576,0.015332261567993024,0.03229859616642176
de_shortfall_days,tau_recovery,3.018319558176719e-05,0.022874943893231362,0.026103582949310707,0.031808620942938785
de_shortfall_days,q_nj_warning,-0.01024427833101727,0.021580365516374576,0.015332261567993024,0.03229859616642176
de_shortfall_days,ierq_max_bg,-0.01024427833101727,0.021580365516374576,0.015332261567993024,0.03229859616642176
de_max_deficit_mgd,alpha_betz_warning,0.5962108038694814,0.13305157197596454,0.8359102057980841,0.07318566228958336
de_max_deficit_mgd,alpha_bm_warning,0.16052992209090097,0.03791190901792437,0.4050765589668102,0.13980308517075643
de_max_deficit_mgd,m_lb,0.019644622027455653,0.03160830231475419,0.12614273354379663,0.20296433553617324
